cbsa_code,msa_name_census,msa_name_bls,population_2024,oews_total_employment,median_hourly_wage,median_annual_wage,mean_hourly_wage,mean_annual_wage
35620,"New York-Newark-Jersey City, NY-NJ","New York-Newark-Jersey City, NY-NJ",19940274,9363020,29.07,60460,40.65,84560
31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",12927614,6199940,25.72,53490,36.64,76200
16980,"Chicago-Naperville-Elgin, IL-IN","Chicago-Naperville-Elgin, IL-IN",9408576,4473740,24.76,51510,34.42,71600
19100,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX",8344032,4003820,23.91,49740,32.89,68420
26420,"Houston-Pasadena-The Woodlands, TX","Houston-Pasadena-The Woodlands, TX",7796182,3246360,23.31,48490,31.87,66280
33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",6457988,2782340,23.04,47920,31.88,66310
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",6436489,3118630,32.9,68430,43.47,90420
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",6411149,2871980,23.93,49770,33.73,70150
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422,2868720,24.89,51760,33.47,69620
38060,"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ",5186958,2343250,23.96,49840,32.47,67540
14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH",5025517,2707940,31.07,64620,41.85,87040
40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",4744214,1695430,23.19,48240,30.9,64270
41860,"San Francisco-Oakland-Fremont, CA","San Francisco-Oakland-Fremont, CA",4648486,2405740,35.56,73960,48.15,100140
19820,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI",4400578,1909060,24.39,50740,32.29,67160
42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",4145494,2082610,32.46,67510,43.16,89760
33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",3757952,1931660,27.71,57640,34.73,72240
45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",3424560,1442290,22.94,47720,30.93,64340
41740,"San Diego-Chula Vista-Carlsbad, CA","San Diego-Chula Vista-Carlsbad, CA",3298799,1533290,27.2,56580,37.85,78720
19740,"Denver-Aurora-Centennial, CO","Denver-Aurora-Centennial, CO",3052498,1618390,29.38,61110,38.45,79980
36740,"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",2940513,1397600,21.83,45410,28.95,60210
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC",2883370,1340800,23.5,48880,32.55,67690
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",2859024,1340750,27.57,57340,35.95,74770
41180,"St. Louis, MO-IL","St. Louis, MO-IL",2811927,1339700,23.21,48290,30.57,63580
41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",2763006,1114520,22.12,46010,28.58,59450
12420,"Austin-Round Rock-San Marcos, TX","Austin-Round Rock-San Marcos, TX",2550637,1260220,25.29,52610,34.32,71390
38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA",2537904,1213760,28.38,59040,36.77,76490
40900,"Sacramento-Roseville-Folsom, CA","Sacramento-Roseville-Folsom, CA",2463127,1066390,28.31,58880,36.66,76250
38300,"Pittsburgh, PA","Pittsburgh, PA",2429917,1109050,23.18,48210,30.22,62850
29820,"Las Vegas-Henderson-North Las Vegas, NV","Las Vegas-Henderson-North Las Vegas, NV",2398871,1119360,21.69,45120,28.43,59120
17140,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN",2302815,1092300,23.31,48490,30.78,64020
28140,"Kansas City, MO-KS","Kansas City, MO-KS",2253579,1093430,23.79,49480,30.78,64030
18140,"Columbus, OH","Columbus, OH",2225377,1085150,23.8,49510,31.39,65290
26900,"Indianapolis-Carmel-Greenwood, IN","Indianapolis-Carmel-Greenwood, IN",2174833,1096770,23.18,48210,30.25,62910
17410,"Cleveland, OH","Cleveland, OH",2171877,1036780,23.56,49000,31.12,64730
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",2150553,1096500,23.48,48840,30.92,64320
41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",1995484,1134660,39.65,82470,58.25,121160
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC","Virginia Beach-Chesapeake-Norfolk, VA-NC",1794278,754860,23.28,48430,30.14,62690
27260,"Jacksonville, FL","Jacksonville, FL",1760548,756360,22.61,47030,29.86,62100
39300,"Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",1700901,706440,24.64,51250,32.21,67000
33340,"Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI",1574452,819450,23.9,49720,31.18,64850
39580,"Raleigh-Cary, NC","Raleigh-Cary, NC",1562009,723590,23.83,49560,32.7,68010
36420,"Oklahoma City, OK","Oklahoma City, OK",1497821,669400,22.06,45880,27.95,58140
31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",1394234,686050,22.96,47750,29,60330
40060,"Richmond, VA","Richmond, VA",1370165,652900,24.05,50020,31.78,66110
32820,"Memphis, TN-MS-AR","Memphis, TN-MS-AR",1339345,620100,21.93,45610,27.96,58150
41620,"Salt Lake City-Murray, UT","Salt Lake City-Murray, UT",1300762,816680,24.73,51430,33.38,69420
13820,"Birmingham, AL","Birmingham, AL",1192583,517920,22.28,46330,28.14,58530
23420,"Fresno, CA","Fresno, CA",1189557,470480,22.03,45810,29.92,62240
24340,"Grand Rapids-Wyoming-Kentwood, MI","Grand Rapids-Wyoming-Kentwood, MI",1178826,561410,22.84,47510,28.89,60100
25540,"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",1169048,592620,28.5,59270,36.14,75170
